date;en;nl
12/10;The trees are shedding their leaves but oak and ash trees are still very green.;De bomen laten hun bladeren vallen, maar eiken- en essenbomen zijn nog steeds erg groen.
13/10;Cauliflower fungus is appearing at the base of Scots pine trunks.;Bloemkoolzwammen verschijnen aan de basis van Schotse dennenstammen.
14/10;Chaffinches and lesser redpolls are sometimes singing on fine mornings.;Keepmannetjes en barmsijsjes zingen soms op mooie ochtenden.
15/10;Wrens are beginning their autumn singing.;Winterkoninkjes beginnen hun herfstlied.
16/10;The last martins and barn swallows are leaving to spend the winter in Africa.;De laatste zwaluwen en huiszwaluwen vertrekken om de winter in Afrika door te brengen.
17/10;Dogwood leaves are turning a beautiful red.;Kornoeljebladeren kleuren prachtig rood.
18/10;At dusk blackbirds are making their short high pitch alarm calls.;Bij zonsondergang maken merels hun korte, hoge alarmroepen.
19/10;Some young wood pigeons are leaving the nest only now.;Sommige jonge houtduiven verlaten nu pas het nest.
20/10;Amphibians start withdrawing into their hibernation shelters.;Amfibie�n beginnen zich terug te trekken in hun winterschuilplaatsen.
21/10;The vomiting russula or the sickener fungus is appearing on damp, acid soils.;De kotsende russula of de ziekmaker paddestoel verschijnt op vochtige, zure grond.
22/10;The northern red oak takes on a striking red.;De noordelijke rode eik krijgt een opvallend rode kleur.
23/10;The first fieldfares are arriving from the high north.;De eerste kramsvogels arriveren uit het hoge noorden.
24/10;Brent geese are returning from their northern breeding grounds with their young.;Brandganzen keren terug van hun broedgebieden in het noorden, met hun jongen.
25/10;Slowworms are going into hibernation, hidden in humus and rough grasses.;Hazelwormen gaan in winterslaap, verborgen in humus en ruw gras.
26/10;The first woodcocks are arriving from Finland and Russia to spend the winter here.;De eerste houtsnippen arriveren uit Finland en Rusland om hier de winter door te brengen.
27/10;Comma butterflies have stopped flying for this year.;Dagpauwogen zijn gestopt met vliegen voor dit jaar.
28/10;The birch leaves have taken on their autumnal colours.;De berkenbladeren hebben hun herfstkleuren aangenomen.
29/10;Peacock butterflies stop flying as autumn progresses.;Pauwoogvlinders stoppen met vliegen naarmate de herfst vordert.
30/10;Dormice are going into hibernation until April.;Slaapmuizen gaan in winterslaap tot april.
31/10;Virtually all butterflies have stopped flying because of the cold.;Vrijwel alle vlinders zijn gestopt met vliegen vanwege de kou.
01/11;Mistle thrushes begin singing again from treetops.;Kramsvogels beginnen weer te zingen vanuit boomtoppen.
02/11;The brown long-eared bat starts to hibernate in trees, hollow walls, caves and mines.;De bruine grootoorvleermuis begint te overwinteren in bomen, holle muren, grotten en mijnen.
03/11;The grass stops growing.;Het gras stopt met groeien.
04/11;Money spiders in vast numbers on fields cover the grass with threads of silk.;Geldspinnen verschijnen in grote aantallen op velden en bedekken het gras met zijden draden.
05/11;Autumnal leaf tinting is usually at its best about this time.;Het herfstblad kleurt meestal op zijn mooist rond deze tijd.
06/11;Mermaids purses holding shark’s or skate’s eggs, wash up on beaches.;Mermaid's purses met haaien- of roggeneieren spoelen aan op stranden.
07/11;Serotine bats are spending the winter in cavity walls, under roof tiles and in disused chimneys.;Sereotinovleermuizen brengen de winter door in holle muren, onder dakpannen en in ongebruikte schoorstenen.
08/11;Salmon start to ascend rivers from the sea to spawn upstream.;Zalmen beginnen rivieren op te zwemmen vanuit de zee om stroomopwaarts te paaien.
09/11;The last red admiral butterflies are still on wing.;De laatste atalanta-vlinders zijn nog steeds in de lucht.
10/11;Thousands of wild geese are back from their summer breeding grounds in the Arctic.;Duizenden wilde ganzen zijn terug van hun zomerbroedgebieden in de Arctische regio.
11/11;Adult shrews die of exhaustion, the young are left to survive the winter.;Volwassen spitsmuizen sterven uitputting, de jongen moeten de winter zien te overleven.
12/11;Frogs hibernate in the unfrozen muddy layer on the bottom of ponds and pools.;Kikkers overwinteren in de onbevroren modderlaag op de bodem van vijvers en plassen.
13/11;Candlesnuff fungus is abundant on old stumps.;Kaarsensnuffelzwam is overvloedig aanwezig op oude stronken.
14/11;The colourful butter waxcap appears in meadows.;De kleurrijke boterwasplaat verschijnt in weilanden.
15/11;The spitting spider Scytodes thoracica goes hunting by night.;De spuwende spin Scytodes thoracica gaat 's nachts op jacht.
16/11;Adders and grass snakes go into hibernation.;Adders en ringslangen gaan in winterslaap.
17/11;Hedgehogs go into hibernation until April.;Egels gaan in winterslaap tot april.
18/11;Lapwings are feeding in flocks on fields.;Lepelaars foerageren in groepen op velden.
19/11;Brown witch’s butter fungus or jelly leaf is growing on dead birch and oak branches.;Bruine heksenboterzwam of geleiachtig blad groeit op dode berken- en eiken takken.
20/11;Occasional appearance of brimstone butterflies.;Af en toe verschijnen zwavelvlinders.
21/11;Squirrels retire to their winter retreats.;Eekhoorns trekken zich terug naar hun winterverblijven.
22/11;Most moths start to hibernate as a pupa among fallen leaves or other hidden spots.;De meeste motten beginnen te overwinteren als pop tussen gevallen bladeren of andere verborgen plekken.
23/11;Long-eared owls form communal roosts.;Oehoes vormen gemeenschappelijke slaapplaatsen.
24/11;Greenfinches assemble in flocks for their collective wintering.;Groenlingen verzamelen zich in groepen voor hun gezamenlijke overwintering.
25/11;Common bracket fungus is abundant on dead wood.;Gewone zwam is overvloedig op dood hout.
26/11;The pedunculate or English oaks are now completely bare.;De zomereiken zijn nu volledig kaal.
27/11;The nettle cells of stinging-nettles are losing strength.;De netelcellen van brandnetels verliezen kracht.
28/11;The Fluted bird’s nest fungus ejects its spores.;De gestreepte vogelnestzwam schiet zijn sporen uit.
28/11;Young magpies without a territory are roosting in small flocks.;Jonge eksters zonder territorium rusten in kleine groepen.
30/11;Pipistrelle bats are going into hibernation.;Dwergvleermuizen gaan in winterslaap.
01/12;Today the meteorological winter begins.;Vandaag begint de meteorologische winter.
02/12;The common shrew is now underground and hunting for invertebrates.;De gewone spitsmuis bevindt zich nu ondergronds en jaagt op ongewervelde dieren.
03/12;Male foxes are calling in the night to find a female to mate with.;Mannelijke vossen roepen 's nachts om een vrouwtje te vinden om mee te paren.
04/12;Nathusius’ pipistrelle bats may fly on mild winter days.;Nathusius' dwergvleermuizen kunnen op milde winterdagen vliegen.
05/12;Red-stemmed feather moss abundant on sandy soil.;Rode steelmos is overvloedig op zanderige grond.
06/12;The rough-mantled doris sea slug is looking for barnacles to feed on during its breeding time.;De ruwe manteldoriskeaslak zoekt tijdens het broedseizoen naar barnakels om op te eten.
07/12;Yellowhammers are congregating in winter flocks at nutrition-rich places.;Geelgorzen verzamelen zich in de winter in groepen op voedselrijke plaatsen.
08/12;At night luminous centipedes can be spotted.;'s Nachts kunnen lichtgevende duizendpoten worden gezien.
09/12;The first young of grey seals are being born.;De eerste jongen van grijze zeehonden worden geboren.
10/12;Blackbirds clear circles of dead leaves to get at insects and worms in the ground.;Merels ruimen cirkels van dode bladeren op om insecten en wormen in de grond te vinden.
11/12;The song thrush sings at dawn in mild weather.;De zanglijster zingt bij zonsopgang in mild weer.
12/12;Titmice extract larvae from oak marble galls and eat them.;Mezen halen larven uit eikengallen en eten ze.
13/12;Groundsel can be seen in flower, in sheltered places all year long.;Duizendblad kan het hele jaar door in beschutte plaatsen bloeien.
14/12;Stoats have their white coat for winter.;Hazen hebben hun witte vacht voor de winter.
15/12;The mating season of squirrels has begun.;Het paringsseizoen van eekhoorns is begonnen.
16/12;The high, sharp call of the great spotted woodpecker can be heard high up in the trees.;De hoge, scherpe roep van de grote bonte specht is hoog in de bomen te horen.
17/12;Shepherd’s purse is occasionally still flowering.;Herderstasje bloeit af en toe nog steeds.
18/12;Many insects winter in the hollow stems of dead plants.;Veel insecten overwinteren in de holle stengels van dode planten.
19/12;The first scarlet elf cup fungi appear.;De eerste elfenbankjeszwammen verschijnen.
20/12;Long-tailed tit flocks are looking for food all day to survive.;Mezenbollen zijn de hele dag op zoek naar voedsel om te overleven.
21/12;Common chickweed is occasionally still flowering.;Gewoon vogelmuur bloeit af en toe nog steeds.
22/12;Compass jellyfish come near to the shore.;Kompasskwalletjes komen dichtbij de kust.
23/12;Slowworms can be spotted in sunny weather.;Hazelwormen kunnen worden gezien bij zonnig weer.
24/12;Early nuthatches commence their spring whistle.;Vroege boomklevers beginnen hun voorjaarsfluitje.
25/12;Stag beetles can be spotted on a clear evening.;Hertkevers kunnen op een heldere avond worden gezien.
26/12;Yellow witch’s - butter fungus can be seen on the stems of dead oak and other trees.;Gele heksenboterzwam kan worden gezien op de stammen van dode eiken- en andere bomen.
27/12;Yellow gorse is flowering profusely.;Gele gaspeldoorn bloeit uitbundig.
28/12;Moles throw up hillocks when the ground is not frozen hard.;Mollen werpen heuveltjes op wanneer de grond niet bevroren is.
29/12;Robins are singing.;Roodborstjes zingen.
30/12;Wild boars churn up the fallen leaves looking for acorns.;Wilde zwijnen woelen de gevallen bladeren om op zoek naar eikels.
31/12;Earthworms tug/pull dead leaves into their holes and eat them.;Regenwormen trekken dode bladeren in hun holen en eten ze op.
